"from";"to";"km"
5320;5320;0
6753;5320;135,75
6534;5320;138,689
8961;5320;211,72
6051;5320;83,231
8592;5320;277,869
8643;5320;189,832
6823;5320;152,675
9510;5320;249,42
5466;5320;54,483
5610;5320;53,529
9340;5320;307,615
6440;5320;72,991
7490;5320;186,699
8963;5320;199,66
5935;5320;87,834
8444;5320;211,778
7150;5320;113,571
8330;5320;164,784
7755;5320;258,171
6541;5320;137,806
6852;5320;163,416
7190;5320;122,485
9881;5320;347,306
8850;5320;197,415
6091;5320;91,836
9492;5320;312,352
5491;5320;30,44
6857;5320;177,304
5400;5320;38,716
6392;5320;156,409
7441;5320;150,497
8220;5320;156,206
6740;5320;132,305
7330;5320;138,992
6535;5320;145,317
6261;5320;162,624
7182;5320;101,934
5464;5320;52,235
6310;5320;181,127
5672;5320;37,508
9460;5320;309,555
8654;5320;133,922
8740;5320;125,597
9700;5320;301,609
6650;5320;112,372
6372;5320;158,595
6622;5320;106,88
7660;5320;219,934
9574;5320;242,591
7080;5320;83,566
7650;5320;228,175
6070;5320;101,774
5380;5320;17,616
8721;5320;101,758
9330;5320;302,077
9352;5320;312,009
5631;5320;53,559
8400;5320;207,309
6320;5320;169,602
6040;5320;94,162
8250;5320;177,027
5592;5320;61,373
7361;5320;133,94
7442;5320;150,102
7950;5320;253,163
6700;5320;150,699
6715;5320;147,809
6710;5320;154,203
6705;5320;144,572
6720;5320;163,09
9640;5320;257,704
5863;5320;20,509
9690;5320;289,147
8762;5320;112,908
7000;5320;72,514
9900;5320;337,718
5871;5320;41,631
7741;5320;309,873
7884;5320;246,123
6683;5320;128,941
5600;5320;44,99
8990;5320;205,735
8882;5320;181,198
7321;5320;110,921
8464;5320;162,44
9362;5320;291,038
9631;5320;248,046
8751;5320;124,214
5591;5320;47,624
6621;5320;106,446
5854;5320;38,548
9260;5320;277,468
7323;5320;126,256
8983;5320;211,076
8883;5320;163,326
5620;5320;40,713
6752;5320;127,343
8585;5320;228,029
6510;5320;129,493
6771;5320;137,974
8500;5320;220,232
7200;5320;132,851
6300;5320;162,393
5892;5320;42,329
5884;5320;47,226
6690;5320;130,102
6100;5320;123,668
7540;5320;188,369
8370;5320;177,459
9560;5320;235,365
9370;5320;298,411
8450;5320;174,749
7362;5320;132,023
7730;5320;285,704
7673;5320;246,826
8462;5320;149,801
5463;5320;44,736
8361;5320;149,885
8970;5320;219,212
8722;5320;100,66
6094;5320;105,71
7250;5320;122,729
6893;5320;186,66
6854;5320;173,577
7400;5320;162,3
5874;5320;48,935
8382;5320;166,184
9850;5320;335,737
9320;5320;293,422
7560;5320;207,186
8530;5320;176,935
9800;5320;327,706
9500;5320;220,946
7500;5320;192,166
6670;5320;130,555
8543;5320;187,334
8783;5320;110,402
8700;5320;127,491
6682;5320;128,502
8732;5320;131,241
5932;5320;82,279
8350;5320;138,493
7760;5320;245,582
6960;5320;199,487
8270;5320;158,023
6280;5320;168,714
7840;5320;223,772
8362;5320;143,448
5683;5320;46,794
7430;5320;149,015
6851;5320;161,282
7300;5320;108,395
9740;5320;307,084
9981;5320;346,496
6064;5320;96,708
7130;5320;121,584
7960;5320;257,502
7470;5320;183,936
5300;5320;12,662
6933;5320;157,427
8620;5320;164,912
9270;5320;273,486
8765;5320;119,708
8420;5320;207,187
6000;5320;86,453
8560;5320;204,875
9293;5320;251,254
6340;5320;166,02
5772;5320;33,675
5550;5320;13,408
8870;5320;189,458
6940;5320;194,23
8632;5320;162,976
7620;5320;235,832
6660;5320;118,085
6640;5320;91,729
8520;5320;171,267
9940;5320;370,469
8831;5320;192,851
9670;5320;268,134
6240;5320;155,894
9480;5320;326,311
8723;5320;104,859
8670;5320;152,313
8340;5320;161,571
9550;5320;217,244
5290;5320;5,816
5960;5320;83,092
5390;5320;23,976
5370;5320;15,27
5500;5320;62,659
5642;5320;47,189
5462;5320;38,098
5330;5320;5,956
9632;5320;233,278
8544;5320;189,962
8320;5320;158,739
9240;5320;260,619
8581;5320;205,692
6430;5320;197,759
5800;5320;30,287
7900;5320;247,196
9610;5320;230,977
6830;5320;175,67
8766;5320;123,349
5580;5320;60,016
9400;5320;279,792
8300;5320;151,224
5000;5320;8,35
5230;5320;10,792
5270;5320;15,685
5210;5320;19,593
5240;5320;3,122
5260;5320;21,516
5250;5320;24,566
5220;5320;13,252
5200;5320;15,751
6840;5320;170,574
5450;5320;25,941
5883;5320;53,908
6855;5320;168,355
6330;5320;161,662
9490;5320;304,561
7183;5320;108,632
8900;5320;190,311
8920;5320;196,01
8930;5320;197,595
8940;5320;186,46
8960;5320;196,912
9681;5320;276,014
8763;5320;111,981
7970;5320;253,619
6760;5320;138,321
5750;5320;30,12
6950;5320;205,751
8240;5320;164,252
8240;5320;164,252
7870;5320;232,374
5900;5320;70,729
8680;5320;147,279
5350;5320;12,053
8550;5320;195,468
5856;5320;30,242
6630;5320;118,489
6230;5320;141,397
8840;5320;176,374
6792;5320;171,263
8410;5320;193,579
8471;5320;160,957
9493;5320;310,804
8305;5320;177,984
8600;5320;149,355
9870;5320;332,706
6093;5320;102,472
9990;5320;371,724
8832;5320;197,65
5485;5320;27,261
8660;5320;138,575
7800;5320;208,422
6900;5320;185,963
6780;5320;155,919
8541;5320;177,946
